Placement test score (%),Proficiency,Sex,Age,L1,Stay abroad in Spanish speaking country (>= 1 month),Proficiency (self-assessment) speaking,Proficiency (self-assessment) listening,Proficiency (self-assessment) reading,Proficiency (self-assessment) writing,Proficiency (self-assessment),Medium,Task number,Writting/audio details,Where the task was done
62.8,Lower intermediate,Female,20.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
62.8,Lower intermediate,Female,21.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
62.8,Lower intermediate,Female,22.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Lower advanced (C1),Lower advanced (C1),65.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,21.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
67.4,Upper intermediate,Female,21.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper beginner (A2),Upper intermediate (B2),50.0,Written,14,written_online,Outside classroom
67.4,Upper intermediate,Female,22.0,Arabic,Yes,Lower advanced (C1),Lower advanced (C1),Upper intermediate (B2),Upper intermediate (B2),70.0,Written,14,written_online,Outside classroom
69.8,Upper intermediate,Female,20.0,Arabic,No,Upper intermediate (B2),Lower intermediate (B1),Lower advanced (C1),Lower advanced (C1),65.0,Written,14,written_online,Outside classroom
69.8,Upper intermediate,Male,20.0,Arabic,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
69.8,Upper intermediate,Female,21.0,Arabic,No,Lower advanced (C1),Upper advanced (C2),Upper intermediate (B2),Upper intermediate (B2),75.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,20.0,Arabic,Yes,Upper intermediate (B2),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),45.0,Written,14,written_online,Inside classroom
72.1,Upper intermediate,Female,20.0,Arabic,No,Lower intermediate (B1),Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),35.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,20.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,21.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,22.0,Arabic,No,Upper intermediate (B2),Lower advanced (C1),Upper intermediate (B2),Upper intermediate (B2),65.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,34.0,Arabic,Yes,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,20.0,Arabic,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),10.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,20.0,Arabic,No,Upper beginner (A2),Lower beginner (A1),Upper intermediate (B2),Lower advanced (C1),40.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,20.0,Arabic,No,Upper intermediate (B2),Lower intermediate (B1),Lower advanced (C1),Lower advanced (C1),65.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,20.0,Arabic,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,20.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Male,21.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,21.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,26.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,28.0,Arabic,No,Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),Upper intermediate (B2),75.0,Written,14,written_online,Outside classroom
79.1,Upper intermediate,Female,19.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
79.1,Upper intermediate,Male,21.0,Arabic,No,Lower advanced (C1),Upper intermediate (B2),Upper intermediate (B2),Lower advanced (C1),70.0,Written,14,written_online,Outside classroom
79.1,Upper intermediate,Female,22.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Female,20.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Male,22.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Male,24.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Upper beginner (A2),35.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Female,30.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),55.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Male,33.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Male,35.0,Arabic,Yes,Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),80.0,Written,14,written_online,Outside classroom
81.4,Upper intermediate,Female,53.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Both inside and outside classroom
83.7,Lower advanced,Female,21.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
86.0,Lower advanced,Female,20.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
86.0,Lower advanced,Female,23.0,Arabic,Yes,Upper intermediate (B2),Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),75.0,Written,14,written_online,Both inside and outside classroom
86.0,Lower advanced,Male,30.0,Arabic,No,Lower intermediate (B1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),25.0,Written,14,written_online,Outside classroom
88.4,Lower advanced,Male,20.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Lower advanced (C1),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
88.4,Lower advanced,Male,41.0,Arabic,Yes,Lower advanced (C1),Upper advanced (C2),Lower advanced (C1),Lower advanced (C1),85.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,20.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper intermediate (B2),Lower intermediate (B1),35.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,20.0,Arabic,No,Upper intermediate (B2),Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),50.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,20.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Lower advanced (C1),Lower advanced (C1),70.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,21.0,Arabic,Yes,Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),80.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,21.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,24.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Female,25.0,Arabic,No,Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),80.0,Written,14,written_online,Outside classroom
90.7,Lower advanced,Male,26.0,Arabic,Yes,Lower advanced (C1),Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),95.0,Written,14,written_online,Outside classroom
93.0,Lower advanced,Male,20.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
93.0,Lower advanced,Female,21.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Outside classroom
93.0,Lower advanced,Female,25.0,Arabic,Yes,Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),Lower advanced (C1),80.0,Written,14,written_online,Outside classroom
93.0,Lower advanced,Female,26.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),55.0,Written,14,written_online,Outside classroom
93.0,Lower advanced,Female,38.0,Arabic,No,Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),100.0,Written,14,written_online,Outside classroom
95.3,Upper advanced,Male,29.0,Arabic,Yes,Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),100.0,Written,14,written_online,Outside classroom
97.7,Upper advanced,Female,20.0,Arabic,No,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),50.0,Written,14,written_online,Outside classroom
97.7,Upper advanced,Male,23.0,Arabic,Yes,Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),100.0,Written,14,written_online,Outside classroom
97.7,Upper advanced,Male,26.0,Arabic,Yes,Lower advanced (C1),Upper advanced (C2),Lower advanced (C1),Lower advanced (C1),85.0,Written,14,written_online,Outside classroom
97.7,Upper advanced,Female,31.0,Arabic,Yes,Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),Upper advanced (C2),100.0,Written,14,written_online,Outside classroom
97.7,Upper advanced,Male,50.0,Arabic,Yes,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
100.0,Upper advanced,Female,20.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
100.0,Upper advanced,Female,21.0,Arabic,Yes,Upper intermediate (B2),Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),50.0,Written,14,written_online,Outside classroom
100.0,Upper advanced,Male,25.0,Arabic,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,14,written_online,Outside classroom
14.0,Lower beginner,Female,20.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower beginner (A1),Upper beginner (A2),25.0,Written,1,written_online,Inside classroom
16.3,Lower beginner,Female,16.0,English,No,Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),30.0,Written,6,written_online,Outside classroom
16.3,Lower beginner,Male,26.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Inside classroom
18.6,Lower beginner,Female,16.0,English,No,Lower intermediate (B1),Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),30.0,Written,1,written_online,Inside classroom
18.6,Lower beginner,Female,20.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,2,written_online,Inside classroom
18.6,Lower beginner,Male,24.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,1,written_online,Inside classroom
20.9,Lower beginner,Male,14.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Inside classroom
20.9,Lower beginner,Female,15.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,2,written_online,Outside classroom
20.9,Lower beginner,Female,16.0,English,No,Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),30.0,Written,2,written_online,Outside classroom
20.9,Lower beginner,Female,16.0,English,No,Lower intermediate (B1),Lower beginner (A1),Lower intermediate (B1),Lower beginner (A1),20.0,Written,1,written_online,Inside classroom
20.9,Lower beginner,Female,20.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,2,written_online,Outside classroom
20.9,Lower beginner,Female,20.0,English,No,Lower beginner (A1),Lower intermediate (B1),Upper beginner (A2),Lower intermediate (B1),25.0,Written,5,written_online,Inside classroom
20.9,Lower beginner,Male,23.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,5,written_online,Inside classroom
20.9,Lower beginner,Male,25.0,English,No,Lower beginner (A1),Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),10.0,Written,5,written_online,Outside classroom
20.9,Lower beginner,Female,26.0,English,No,Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),15.0,Written,2,written_online,Inside classroom
23.3,Lower beginner,Female,15.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,4,written_online,Inside classroom
23.3,Lower beginner,Male,18.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,9,written_online,Both inside and outside classroom
23.3,Lower beginner,Male,19.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,5,written_online,Inside classroom
23.3,Lower beginner,Male,20.0,English,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Lower beginner (A1),5.0,Written,14,written_online,Outside classroom
23.3,Lower beginner,Female,21.0,English,No,Lower beginner (A1),Upper intermediate (B2),Upper intermediate (B2),Lower beginner (A1),30.0,Written,2,written_online,Inside classroom
23.3,Lower beginner,Female,22.0,English,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Spoken,13,spoken_online,Outside classroom
23.3,Lower beginner,Female,22.0,English,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,13,written_online,Outside classroom
23.3,Lower beginner,Male,24.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
23.3,Lower beginner,Male,27.0,English,Yes,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Inside classroom
23.3,Lower beginner,Female,44.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,9,written_online,Inside classroom
25.6,Lower beginner,Male,18.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,9,written_online,Both inside and outside classroom
25.6,Lower beginner,Female,19.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,13,written_online,Outside classroom
25.6,Lower beginner,Female,19.0,English,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),10.0,Written,2,written_online,Inside classroom
25.6,Lower beginner,Male,19.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,2,written_online,Inside classroom
25.6,Lower beginner,Male,19.0,English,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),10.0,Written,2,written_online,Outside classroom
25.6,Lower beginner,Female,20.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Outside classroom
25.6,Lower beginner,Female,21.0,English,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,2,written_online,Outside classroom
25.6,Lower beginner,Female,22.0,English,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
25.6,Lower beginner,Male,22.0,English,No,Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),10.0,Written,14,written_online,Outside classroom
25.6,Lower beginner,Female,25.0,English,No,Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),Lower beginner (A1),20.0,Written,2,written_online,Outside classroom
25.6,Lower beginner,Female,27.0,English,Yes,Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),10.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Female,13.0,English,No,Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),15.0,Written,1,written_online,Both inside and outside classroom
27.9,Lower beginner,Male,13.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,14.0,English,No,Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),10.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,14.0,English,Yes,Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),15.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Male,15.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,15.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Lower intermediate (B1),45.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,16.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Lower intermediate (B1),45.0,Written,4,written_online,Inside classroom
27.9,Lower beginner,Female,16.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),50.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Male,17.0,English,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,17.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Female,17.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),50.0,Written,2,written_online,Outside classroom
27.9,Lower beginner,Female,17.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,4,written_online,Outside classroom
27.9,Lower beginner,Male,17.0,English,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Male,18.0,English,No,Lower beginner (A1),Upper beginner (A2),Lower intermediate (B1),Upper beginner (A2),20.0,Written,5,written_online,Inside classroom
27.9,Lower beginner,Female,18.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,18.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,18.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,19.0,English,No,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Upper beginner (A2),30.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,19.0,English,No,Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),60.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,19.0,English,No,Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),Lower beginner (A1),20.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Male,20.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Male,20.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,5,written_online,Inside classroom
27.9,Lower beginner,Female,21.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,21.0,English,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
27.9,Lower beginner,Female,21.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,5,written_online,Outside classroom
27.9,Lower beginner,Male,21.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,5,written_online,Inside classroom
27.9,Lower beginner,Male,21.0,English,No,Lower beginner (A1),Lower advanced (C1),Lower intermediate (B1),Lower beginner (A1),30.0,Written,11,written_online,Inside classroom
27.9,Lower beginner,Male,21.0,English,No,Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),15.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,21.0,English,No,Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),Lower intermediate (B1),50.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Female,22.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Male,22.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,1,written_online,Outside classroom
27.9,Lower beginner,Male,22.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,5,written_online,Inside classroom
27.9,Lower beginner,Female,23.0,English,No,Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),15.0,Written,4,written_online,Inside classroom
27.9,Lower beginner,Female,24.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,24.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,26.0,English,No,Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),30.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,27.0,English,Yes,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,28.0,English,No,Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),10.0,Written,5,written_online,Inside classroom
27.9,Lower beginner,Female,28.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower intermediate (B1),Lower beginner (A1),10.0,Written,1,written_online,Inside classroom
27.9,Lower beginner,Female,30.0,English,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
27.9,Lower beginner,Male,43.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,2,written_online,Inside classroom
27.9,Lower beginner,Female,45.0,English,Yes,Lower beginner (A1),Lower beginner (A1),Lower intermediate (B1),Lower intermediate (B1),20.0,Written,5,written_online,Outside classroom
27.9,Lower beginner,Male,52.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,1,written_online,Inside classroom
30.2,Upper beginner,Female,13.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),15.0,Written,1,written_online,Inside classroom
30.2,Upper beginner,Male,15.0,English,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,1,written_online,Inside classroom
30.2,Upper beginner,Female,17.0,English,No,Lower intermediate (B1),Upper intermediate (B2),Lower intermediate (B1),Lower intermediate (B1),45.0,Written,5,written_online,Inside classroom
30.2,Upper beginner,Male,18.0,English,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,6,written_online,Outside classroom
30.2,Upper beginner,Female,18.0,English,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,2,written_online,Outside classroom
30.2,Upper beginner,Female,18.0,English,No,Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),10.0,Written,5,written_online,Inside classroom
30.2,Upper beginner,Female,18.0,English,No,Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),15.0,Written,2,written_online,Inside classroom
